Date,Clicks,Impressions,Cost,Conversions
"Mon, Jun 1, 2020",0,0,DKK0.00,0.00
"Tue, Jun 2, 2020",0,7,DKK0.00,0.00
"Wed, Jun 3, 2020",0,13,DKK0.00,0.00
"Thu, Jun 4, 2020",0,24,DKK0.00,0.00
"Fri, Jun 5, 2020",0,37,DKK0.00,0.00
"Sat, Jun 6, 2020",1,32,DKK0.30,0.00
"Sun, Jun 7, 2020",0,68,DKK0.00,0.00
"Mon, Jun 8, 2020",0,57,DKK0.00,0.00
"Tue, Jun 9, 2020",0,59,DKK0.00,0.00
"Wed, Jun 10, 2020",1,59,DKK0.11,0.00
"Thu, Jun 11, 2020",2,44,DKK0.39,1.00
"Fri, Jun 12, 2020",0,36,DKK0.00,0.00
"Sat, Jun 13, 2020",2,55,DKK0.58,0.00
"Sun, Jun 14, 2020",2,140,DKK1.99,0.00
"Mon, Jun 15, 2020",3,94,DKK2.90,1.00
"Tue, Jun 16, 2020",1,87,DKK1.09,0.00
"Wed, Jun 17, 2020",1,77,DKK0.39,1.00
"Thu, Jun 18, 2020",7,406,DKK4.39,0.00
"Fri, Jun 19, 2020",6,834,DKK7.16,2.00
"Sat, Jun 20, 2020",10,443,DKK4.66,1.00
"Sun, Jun 21, 2020",7,674,DKK5.92,3.00
"Mon, Jun 22, 2020",5,536,DKK5.47,0.00
"Tue, Jun 23, 2020",1,335,DKK1.41,0.00
"Wed, Jun 24, 2020",3,329,DKK0.88,1.00
"Thu, Jun 25, 2020",1,351,DKK0.11,0.00
"Fri, Jun 26, 2020",18,"1,813",DKK20.59,0.00
"Sat, Jun 27, 2020",12,"1,399",DKK19.94,2.00
"Sun, Jun 28, 2020",10,"1,086",DKK17.78,3.00
